nameFirst,nameLast,height,mu_height,Max(salary),mu_maxSalary
Jeff,Abbott,74,73.437,255000,1995119.8826
Kurt,Abbott,71,73.437,500000,1995119.8826
Paul,Abbott,75,73.437,285000,1995119.8826
Bobby,Abreu,72,73.437,2933333,1995119.8826
Juan,Acevedo,74,73.437,612500,1995119.8826
Terry,Adams,75,73.437,1400000,1995119.8826
Benny,Agbayani,72,73.437,220000,1995119.8826
Rick,Aguilera,76,73.437,3500000,1995119.8826
Scott,Aldred,76,73.437,600000,1995119.8826
Manny,Alexander,70,73.437,612500,1995119.8826
Antonio,Alfonseca,77,73.437,380000,1995119.8826
Edgardo,Alfonzo,71,73.437,4225000,1995119.8826
Luis,Alicea,69,73.437,750000,1995119.8826
Armando,Almanza,75,73.437,203000,1995119.8826
Carlos,Almanzar,74,73.437,215000,1995119.8826
Roberto,Alomar,72,73.437,7196656,1995119.8826
Sandy,Alomar,77,73.437,2700000,1995119.8826
Moises,Alou,75,73.437,5250000,1995119.8826
Wilson,Alvarez,73,73.437,9000000,1995119.8826
Rich,Amaral,72,73.437,500000,1995119.8826
Brady,Anderson,73,73.437,7127199,1995119.8826
Brian,Anderson,73,73.437,2250000,1995119.8826
Garret,Anderson,75,73.437,3250000,1995119.8826
Jimmy,Anderson,73,73.437,215000,1995119.8826
Matt,Anderson,76,73.437,255000,1995119.8826
Shane,Andrews,73,73.437,1000000,1995119.8826
Rick,Ankiel,73,73.437,202500,1995119.8826
Kevin,Appier,74,73.437,5600000,1995119.8826
Alex,Arias,75,73.437,550000,1995119.8826
Tony,Armas,76,73.437,200000,1995119.8826
Rolando,Arrojo,76,73.437,325000,1995119.8826
Andy,Ashby,73,73.437,5900000,1995119.8826
Pedro,Astacio,74,73.437,6350000,1995119.8826
Rich,Aurilia,72,73.437,1550000,1995119.8826
Brad,Ausmus,71,73.437,4000000,1995119.8826
Bruce,Aven,69,73.437,320000,1995119.8826
Manny,Aybar,73,73.437,270000,1995119.8826
Jeff,Bagwell,72,73.437,6500000,1995119.8826
Harold,Baines,74,73.437,2000000,1995119.8826
Paul,Bako,74,73.437,275000,1995119.8826
James,Baldwin,75,73.437,3300000,1995119.8826
Glen,Barker,70,73.437,255000,1995119.8826
Kevin,Barker,74,73.437,205000,1995119.8826
Michael,Barrett,75,73.437,265000,1995119.8826
Miguel,Batista,73,73.437,325000,1995119.8826
Danny,Bautista,71,73.437,500000,1995119.8826
Rich,Becker,70,73.437,500000,1995119.8826
Rod,Beck,73,73.437,3500000,1995119.8826
Tim,Belcher,75,73.437,4600000,1995119.8826
Stan,Belinda,75,73.437,1500000,1995119.8826
David,Bell,70,73.437,1425000,1995119.8826
Derek,Bell,74,73.437,5000000,1995119.8826
Albert,Belle,73,73.437,12868670,1995119.8826
Clay,Bellinger,75,73.437,206650,1995119.8826
Ronnie,Belliard,69,73.437,250000,1995119.8826
Jay,Bell,73,73.437,7000000,1995119.8826
Rob,Bell,77,73.437,200000,1995119.8826
Adrian,Beltre,71,73.437,1000000,1995119.8826
Carlos,Beltran,73,73.437,350000,1995119.8826
Marvin,Benard,70,73.437,1125000,1995119.8826
Andy,Benes,78,73.437,2867542,1995119.8826
Armando,Benitez,76,73.437,3437500,1995119.8826
Mike,Benjamin,75,73.437,700000,1995119.8826
Kris,Benson,76,73.437,300000,1995119.8826
Jason,Bere,75,73.437,800000,1995119.8826
Dave,Berg,71,73.437,295000,1995119.8826
Peter,Bergeron,74,73.437,201500,1995119.8826
Sean,Bergman,76,73.437,1200000,1995119.8826
Sean,Berry,71,73.437,2350000,1995119.8826
Dante,Bichette,75,73.437,7000000,1995119.8826
Craig,Biggio,71,73.437,6750000,1995119.8826
